"Codigo";"UF";"Municipio";"Adequado_2000";"Adequado_2010";"Semi_2000";"Semi_2010";"Inadequado_2000";"Inadequado_2010";"Classe"
4104055;"PR";"Campo Bonito";8,44;21,72;53,09;54,04;38,47;24,24;"Até 5 mil"
4304101;"RS";"Campos Borges";12,79;9,53;48,57;67,21;38,64;23,26;"Até 5 mil"
3509809;"SP";"Campos Novos Paulista";66,85;76,71;27,67;4,77;5,47;18,52;"Até 5 mil"
3111705;"MG";"Canaã";24,12;33,22;12,77;20,97;63,11;45,81;"Até 5 mil"
5102694;"MT";"Canabrava do Norte";0,1;0,07;23,7;62,83;76,2;37,1;"Até 5 mil"
3509957;"SP";"Canas";57,63;82,24;34,35;16,51;8,02;1,24;"Até 5 mil"
2202251;"PI";"Canavieira";4,68;6,24;57,02;60,51;38,3;33,24;"Até 5 mil"
3510104;"SP";"Cândido Rodrigues";77,18;83,99;4,23;8,41;18,59;7,6;"Até 5 mil"
2801108;"SE";"Canhoba";NA;3,64;82,03;83,81;17,97;12,55;"Até 5 mil"
3510153;"SP";"Canitar";0,23;84,32;99,77;14,94;NA;0,74;"Até 5 mil"
3112059;"MG";"Cantagalo";4,51;21,57;32,28;52,23;63,21;26,2;"Até 5 mil"
4304614;"RS";"Canudos do Vale";NA;18,5;NA;69,83;NA;11,67;"Até 5 mil"
4203253;"SC";"Capão Alto";9,99;16,28;40,3;52,7;49,71;31,02;"Até 5 mil"
4304622;"RS";"Capão Bonito do Sul";NA;1,14;NA;57,75;NA;41,11;"Até 5 mil"
4304655;"RS";"Capão do Cipó";NA;7,58;NA;63,65;NA;28,77;"Até 5 mil"
3112208;"MG";"Capela Nova";14,05;34,12;32,63;22,86;53,32;43,02;"Até 5 mil"
4304697;"RS";"Capitão";5,43;9,12;72,28;85,61;22,28;5,26;"Até 5 mil"
3112653;"MG";"Capitão Andrade";47,31;64,11;21,04;14,49;31,65;21,39;"Até 5 mil"
2202455;"PI";"Capitão Gervásio Oliveira";0,25;0,35;6,88;38,29;92,87;61,36;"Até 5 mil"
4304671;"RS";"Capivari do Sul";41,71;61,96;54,5;36,63;3,79;1,41;"Até 5 mil"
3113107;"MG";"Caranaíba";20,84;35,86;23,06;25,63;56,1;38,5;"Até 5 mil"
2504074;"PB";"Caraúbas";19,02;38,46;21,58;24,52;59,4;37,03;"Até 5 mil"
2202554;"PI";"Caridade do Piauí";NA;0,08;13,8;49,01;86,2;50,91;"Até 5 mil"
1703867;"TO";"Cariri do Tocantins";1,53;21,6;63,04;41,15;35,42;37,24;"Até 5 mil"
4304853;"RS";"Carlos Gomes";NA;18,07;40,16;60,04;59,84;21,89;"Até 5 mil"
3113800;"MG";"Carmésia";19,3;50,74;36,14;23,83;44,56;25,44;"Até 5 mil"
1703883;"TO";"Carmolândia";NA;24,85;72,34;66,57;27,66;8,58;"Até 5 mil"
3114600;"MG";"Carrancas";51,98;60,5;14,21;22,4;33,81;17,11;"Até 5 mil"
2504108;"PB";"Carrapateira";NA;16,95;86,58;62,2;13,42;20,85;"Até 5 mil"
1703891;"TO";"Carrasco Bonito";NA;29;83,02;59,49;16,98;11,51;"Até 5 mil"
3114709;"MG";"Carvalhópolis";69,53;73,64;13,17;20;17,3;6,36;"Até 5 mil"
3114808;"MG";"Carvalhos";39,85;43,15;22,2;28,66;37,95;28,19;"Até 5 mil"
3114907;"MG";"Casa Grande";18,98;47,48;45,17;31,38;35,85;21,14;"Até 5 mil"
3115003;"MG";"Cascalho Rico";56,29;37,85;15,56;31,22;28,15;30,93;"Até 5 mil"
1703909;"TO";"Caseara";0,22;4,92;59,36;54,06;40,42;41,01;"Até 5 mil"
4304952;"RS";"Caseiros";20,66;22,08;35,45;69,63;43,89;8,29;"Até 5 mil"
3510906;"SP";"Cássia dos Coqueiros";54,17;64,4;30,76;18,16;15,07;17,44;"Até 5 mil"
1100908;"RO";"Castanheiras";0,09;0,72;22,04;33,84;77,86;65,43;"Até 5 mil"
5205059;"GO";"Castelândia";47,46;19,78;46,91;79,3;5,63;0,91;"Até 5 mil"
3115359;"MG";"Catas Altas";68,41;82,55;17,94;9,04;13,64;8,41;"Até 5 mil"
3115409;"MG";"Catas Altas da Noruega";13,72;39,82;27,72;12,32;58,56;47,85;"Até 5 mil"
2504207;"PB";"Catingueira";3,03;16,83;41,68;50,8;55,28;32,36;"Até 5 mil"
2907400;"BA";"Catolândia";0,87;2,11;66,04;69,3;33,09;28,59;"Até 5 mil"
5205208;"GO";"Caturaí";0,16;15,53;72,87;82,95;26,96;1,52;"Até 5 mil"
2504355;"PB";"Caturité";12,15;19,86;21,12;41,53;66,73;38,6;"Até 5 mil"
4204103;"SC";"Caxambu do Sul";10,93;13,48;63,75;44,25;25,33;42,27;"Até 5 mil"
3115607;"MG";"Cedro do Abaeté";16,54;24,27;70,8;64,27;12,66;11,46;"Até 5 mil"
4204152;"SC";"Celso Ramos";9,09;22,07;24,77;63,97;66,14;13,97;"Até 5 mil"
1704105;"TO";"Centenário";1;25,36;34,26;34,62;64,74;40,03;"Até 5 mil"
4305116;"RS";"Centenário";NA;29,94;13,05;61,45;86,95;8,61;"Até 5 mil"
4305132;"RS";"Cerro Branco";14,63;50,85;41,25;41,23;44,12;7,92;"Até 5 mil"
4305157;"RS";"Cerro Grande";NA;16,24;30,83;78,43;69,17;5,33;"Até 5 mil"
4204178;"SC";"Cerro Negro";0,49;6;28,52;53,73;70,99;40,27;"Até 5 mil"
3115904;"MG";"Chácara";68,88;63,11;10,18;28,7;20,93;8,19;"Até 5 mil"
1705102;"TO";"Chapada da Natividade";2,31;43,91;30,31;3,34;67,38;52,75;"Até 5 mil"
1704600;"TO";"Chapada de Areia";2,1;0,44;38,92;55,95;58,98;43,61;"Até 5 mil"
4204194;"SC";"Chapadão do Lageado";NA;8,85;11,03;60,29;88,97;30,86;"Até 5 mil"
4305371;"RS";"Charrua";8,43;25,83;38,55;51,78;53,01;22,39;"Até 5 mil"
3116209;"MG";"Chiador";38,9;60,66;28,15;25,62;32,94;13,72;"Até 5 mil"
4305405;"RS";"Chiapetta";0,15;10,58;62,61;84,47;37,24;4,96;"Até 5 mil"
4305447;"RS";"Chuvisca";NA;3,27;21,3;30,6;78,7;66,13;"Até 5 mil"
4305504;"RS";"Ciríaco";23,95;42,24;49,7;43,08;26,35;14,68;"Até 5 mil"
3116407;"MG";"Claraval";40,03;46,41;8,65;23,52;51,32;30,08;"Até 5 mil"
2202711;"PI";"Cocal de Telha";0,47;25,83;46,46;50,38;53,08;23,8;"Até 5 mil"
2202737;"PI";"Coivaras";NA;0,49;38,04;53,4;61,96;46,11;"Até 5 mil"
4305587;"RS";"Colinas";40,67;55,42;34,8;43,63;24,53;0,94;"Até 5 mil"
5205521;"GO";"Colinas do Sul";0,59;0,74;66,8;75,23;32,61;24,03;"Até 5 mil"
4305603;"RS";"Colorado";0,49;2,89;60,46;88,27;39,05;8,84;"Até 5 mil"
1705557;"TO";"Combinado";2,47;7,86;86,45;83,79;11,08;8,35;"Até 5 mil"
3116902;"MG";"Comendador Gomes";12,27;41,22;42,58;20,06;45,15;38,72;"Até 5 mil"
3115201;"MG";"Conceição da Barra de Minas";0,2;37,89;66,83;36,63;32,97;25,48;"Até 5 mil"
3117207;"MG";"Conceição das Pedras";47,98;60,35;12,68;30,99;39,34;8,65;"Até 5 mil"
3117405;"MG";"Conceição de Ipanema";27,41;34,68;25,64;22,53;46,95;42,79;"Até 5 mil"
2202802;"PI";"Conceição do Canindé";16,75;36,7;42,22;29,81;41,03;33,49;"Até 5 mil"
1705607;"TO";"Conceição do Tocantins";NA;5,96;53,66;63,64;46,34;30,4;"Até 5 mil"
2504702;"PB";"Congo";14,92;40,05;36,33;32,48;48,74;27,47;"Até 5 mil"
3118106;"MG";"Congonhas do Norte";6,43;24,1;52,8;50,97;40,77;24,93;"Até 5 mil"
5103361;"MT";"Conquista D'Oeste";NA;5,62;NA;67,09;NA;27,29;"Até 5 mil"
4106100;"PR";"Conselheiro Mairinck";61,1;57,96;36,15;32,58;2,75;9,46;"Até 5 mil"
