"Codigo";"UF";"Municipio";"ValMedio";"Q2";"Mediana";"Q3";"Classe"
3532058;"SP";"Motuca";533;255;430;663;"Até 5 mil"
4312609;"RS";"Muçum";780;426;604;916;"Até 5 mil"
4312617;"RS";"Muitos Capões";712;225;359;550;"Até 5 mil"
4312625;"RS";"Muliterno";667;267;504;800;"Até 5 mil"
4116307;"PR";"Munhoz de Melo";572;295;457;630;"Até 5 mil"
1713957;"TO";"Muricilândia";279;104;182;345;"Até 5 mil"
3532108;"SP";"Murutinga do Sul";574;255;450;650;"Até 5 mil"
5214101;"GO";"Mutunópolis";446;170;275;510;"Até 5 mil"
3144201;"MG";"Nacip Raydan";399;128;224;400;"Até 5 mil"
3532157;"SP";"Nantes";464;250;382;540;"Até 5 mil"
3532207;"SP";"Narandiba";465;232;350;533;"Até 5 mil"
3144375;"MG";"Natalândia";384;165;283;500;"Até 5 mil"
3144409;"MG";"Natércia";487;204;377;513;"Até 5 mil"
1714302;"TO";"Nazaré";293;102;193;340;"Até 5 mil"
4312674;"RS";"Nicolau Vergueiro";806;333;510;937;"Até 5 mil"
3532702;"SP";"Nipoã";603;309;510;750;"Até 5 mil"
4116406;"PR";"Nossa Senhora das Graças";526;300;466;655;"Até 5 mil"
2206753;"PI";"Nossa Senhora de Nazaré";238;91;170;308;"Até 5 mil"
4116505;"PR";"Nova Aliança do Ivaí";534;263;405;605;"Até 5 mil"
4312757;"RS";"Nova Alvorada";695;303;510;760;"Até 5 mil"
5214705;"GO";"Nova América";431;213;340;510;"Até 5 mil"
4116604;"PR";"Nova América da Colina";441;228;350;510;"Até 5 mil"
4312807;"RS";"Nova Araçá";931;483;672;1000;"Até 5 mil"
5214804;"GO";"Nova Aurora";600;267;480;680;"Até 5 mil"
3144672;"MG";"Nova Belém";278;113;193;340;"Até 5 mil"
4312955;"RS";"Nova Boa Vista";824;420;624;940;"Até 5 mil"
5106208;"MT";"Nova Brasilândia";539;167;273;500;"Até 5 mil"
4313003;"RS";"Nova Bréscia";1208;404;600;1008;"Até 5 mil"
3532843;"SP";"Nova Canaã Paulista";518;250;433;637;"Até 5 mil"
4313011;"RS";"Nova Candelária";779;380;600;1000;"Até 5 mil"
3532868;"SP";"Nova Castilho";602;273;477;732;"Até 5 mil"
2107258;"MA";"Nova Colinas";200;34;120;255;"Até 5 mil"
4211405;"SC";"Nova Erechim";890;375;560;988;"Até 5 mil"
4313037;"RS";"Nova Esperança do Sul";602;290;456;650;"Até 5 mil"
5108808;"MT";"Nova Guarita";457;160;320;510;"Até 5 mil"
3533106;"SP";"Nova Guataporanga";628;259;458;655;"Até 5 mil"
5214879;"GO";"Nova Iguaçu de Goiás";396;175;300;510;"Até 5 mil"
3533205;"SP";"Nova Independência";565;267;437;625;"Até 5 mil"
2107308;"MA";"Nova Iorque";248;60;153;306;"Até 5 mil"
4211454;"SC";"Nova Itaberaba";727;255;503;784;"Até 5 mil"
3533304;"SP";"Nova Luzitânia";607;310;500;707;"Até 5 mil"
5108857;"MT";"Nova Marilândia";505;204;340;570;"Até 5 mil"
3144904;"MG";"Nova Módica";349;128;237;423;"Até 5 mil"
5106174;"MT";"Nova Nazaré";368;92;225;499;"Até 5 mil"
4313086;"RS";"Nova Pádua";802;500;675;1000;"Até 5 mil"
2510303;"PB";"Nova Palmeira";259;100;183;340;"Até 5 mil"
4313334;"RS";"Nova Ramada";735;267;510;837;"Até 5 mil"
5214903;"GO";"Nova Roma";353;128;237;453;"Até 5 mil"
4313359;"RS";"Nova Roma do Sul";858;470;650;1000;"Até 5 mil"
1715002;"TO";"Nova Rosalândia";332;120;220;383;"Até 5 mil"
4117214;"PR";"Nova Santa Bárbara";429;170;305;510;"Até 5 mil"
5106190;"MT";"Nova Santa Helena";589;200;340;520;"Até 5 mil"
2207959;"PI";"Nova Santa Rita";185;30;100;253;"Até 5 mil"
3533254;"SP";"Novais";576;277;437;633;"Até 5 mil"
1715101;"TO";"Novo Acordo";371;102;214;375;"Até 5 mil"
1715150;"TO";"Novo Alegre";375;128;250;455;"Até 5 mil"
4313490;"RS";"Novo Barreiro";519;203;366;537;"Até 5 mil"
5215207;"GO";"Novo Brasil";531;250;383;563;"Até 5 mil"
4313391;"RS";"Novo Cabrais";522;216;413;650;"Até 5 mil"
4211652;"SC";"Novo Horizonte";537;252;414;650;"Até 5 mil"
5106273;"MT";"Novo Horizonte do Norte";444;200;340;525;"Até 5 mil"
5006259;"MS";"Novo Horizonte do Sul";430;197;331;510;"Até 5 mil"
4117297;"PR";"Novo Itacolomi";463;250;383;520;"Até 5 mil"
1715259;"TO";"Novo Jardim";261;102;175;300;"Até 5 mil"
4313425;"RS";"Novo Machado";480;188;375;615;"Até 5 mil"
5215256;"GO";"Novo Planalto";407;150;256;475;"Até 5 mil"
2206951;"PI";"Novo Santo Antônio";214;41;128;283;"Até 5 mil"
5106315;"MT";"Novo Santo Antônio";481;144;255;422;"Até 5 mil"
4313441;"RS";"Novo Tiradentes";477;203;407;600;"Até 5 mil"
4313466;"RS";"Novo Xingu";698;340;510;860;"Até 5 mil"
